"","Alternanthera_philoxeroides","Amaranthus_australis","Avicennia_germinans","Baccharis_halimifolia","Bidens_laevis","Bolboschoenus_robustus","Cephalanthus_occidentalis","Colocasia_esculenta","Cyperus_haspan","Cyperus_odoratus","Decodon_verticillatus","Distichlis_spicata","Echinochloa_crus_galli","Echinochloa_walteri","Hydrocotyle_umbellata","Ipomoea_sagittata","Leersia_hexandra","Mikania_scandens","Polygonum_punctatum","Sacciolepis_striata","Sagittaria_lancifolia","Salicornia_depressa","Schoenoplectus_americanus","Spartina_alterniflora","Spartina_cynosuroides","Spartina_patens","Symphyotrichum_tenuifolium","Typha_domingensis","Vigna_luteola"
"Intercept",-5.05312910183206,-2.53178944552946,-13.6937968511516,-4.33079335232121,-9.45306779348768,-2.64816643089491,-10.7364712207054,-13.2110841579085,-5.33632987152217,-4.20662596845638,-17.1719900085463,-1.68948986216821,-6.33065805793795,-3.80070403556667,-6.84121950865884,-1.51664494614717,-8.35624145512051,-5.5438972873398,-3.8465717598355,-5.25600917950632,-4.29210829891118,-12.102155786743,-1.84384877141,-3.67801057461866,-3.03440838272069,0.238563816001252,-3.49489394140217,-3.97409675548254,-2.35788255105993
"Soil_Porewater_Salinity",-3.13093991690329,-0.0363008322443511,1.55511777942528,-0.361076543158256,-5.35522798540975,0.195778844740301,-1.61951186766524,-3.2001384055147,-1.51056652267877,-0.996815692141794,-9.36706406708159,0.23968251251523,-0.692703943179444,-0.40204942902364,-3.89369582765868,-0.993466420309447,-4.19629310763132,-2.0510322122418,-2.55812635766899,-3.20153385378989,-2.47595140700851,0.50061485394651,-0.732952474740586,0.724560552965869,0.354637880704187,-0.416380447820881,-0.117329326523888,-1.19660519133895,-2.07396180328161
"Wet_Soil_pH",-0.215523787711479,-0.0155922308794032,-0.170412780767174,0.0699382847255511,0.150051015687966,-0.13310480015445,-0.699120256319692,-0.880660029011623,-0.0519304033210122,-0.144550320926148,-0.326535347841809,0.103292742523018,0.149764109399819,-0.385410075321398,0.340259231244656,-0.338560182871121,-0.410882376060151,-0.282427519424961,-0.167000489518684,-0.146673859809339,-0.301154087099221,2.56904604722035,-0.0720587473462136,0.514435818090915,0.119835126614437,0.190306589289684,-0.27604928125399,0.16498453160937,-0.101000649422703
"Soil_Salinity",-1.02291931858981,-0.103590599763154,0.500097589584888,-0.111935680585914,-1.02636649661605,0.00263197758696931,-2.77759424086585,-3.17378257822318,-0.523824317541516,0.168649290343184,0.431400535647627,0.186271307876228,-0.0309918556823282,-0.274640656893416,-0.772031286227037,-0.447990729024619,-2.92620462219373,-1.19430568768838,-0.685285328511249,-0.573124831958493,-1.8777388783344,3.33218151077564,0.0656175137333986,1.15172240270437,-0.972385695058528,0.351182177773124,-0.109401175146728,-0.402136753795235,-0.365170104177974
"Bulk_Density",-0.0639669094655306,-0.323066147011092,1.66330765283414,-0.231271048308503,-0.316891879580799,-0.15687564104846,-0.493259189494485,0.166521174931774,-0.231038458285374,-0.197526892264623,-2.67929810979085,-0.327747124112467,0.0739985663091334,-0.355276277021812,-0.118426857762658,-0.509096995846984,-0.707068318004399,-0.505537961850489,-0.270069413983006,-0.44612564486543,-0.427350292042106,-0.893260835056812,-0.58032828992426,-0.0419928841445919,-0.420882099557549,-0.964388073980282,0.0759403547576949,-0.0171522768021219,-0.841446539135273
"Organic_Matter",-0.33976390286122,0,0.181328292739021,0.376429361087065,-0.441443622651453,-1.06778977224726,0.504147131016679,-1.94638031129503,0.556686630543765,-0.0131465072755492,0.327215543050063,-0.682086914809041,-0.248730198123458,-0.0999526444848817,0.642991317078299,-0.342156714783756,-0.139833123403293,-0.516436255204214,-0.110240890326347,-0.0471232068497867,-0.0223823769092842,0.422271162998675,-0.665896768227715,-1.31352040532949,-1.51988864059272,-0.89433646662208,-0.124908553535535,0.0224918429756387,-1.2523612962038
"Percent_Flooded",-0.085726249484817,-0.19285578431954,-0.0837466229525407,-0.436588370905431,-0.142100767786871,-0.0503567473403887,0.27340731754704,-0.145899542785576,0.0578744233521194,-0.0922024717743524,0.120524305819505,-0.101741690987416,-0.326495630507015,-0.213420375878012,-0.106961498721032,-0.262087823476686,-0.221865124385897,-0.0947839469075562,-0.0353318892179722,-0.111406782422559,-0.101144667682342,0.278969554632572,-0.0837387132507042,0.144455872186224,-0.482469290802454,-0.149550386964394,-0.457159541735125,-0.00147671857684843,-0.415063605524731
"AT",2.19941861308643,-1.12162215940479,0,-1.89015372976408,1.71079014452669,-3.6726658108568,2.63413498277492,4.76809377032099,0.583491333248366,-1.21055618443985,2.63953023653887,-4.42314501391044,-1.9731336461704,-1.35884228213261,2.38498327234137,-2.02411579465142,1.31184247670361,1.27488151520323,0.899778285875499,0.0642357595042455,-0.287814861006938,0,-0.642568492167158,-1.99682108876653,-3.22587226864426,-3.75927530631181,-2.07636395820935,0.746812158365559,-1.66573533524247
"BA",0.743399674935744,-0.765135533324122,6.07155873928135,0.0611632419374045,-1.11658548779113,-1.35110509595896,-1.03795428544882,3.51442887548552,0,-0.42133923115813,2.3815001641235,0.519817833518076,-1.37265624173562,-1.24530550852673,0.461553046446194,-1.05795055732202,0.00335267342300228,-0.899318844686658,0.516307513978683,-0.301245502840072,0.677795969338837,1.56852394447427,0,4.13534730376228,-5.08595803472054,-0.597607447005693,0.583161660963581,0,-0.155810425437765
"BS",1.38528524684293,0.511640646528438,2.93012521203899,2.09223491103371,0.621244507855977,0.16744285246174,-1.09451595518297,2.73961645433549,-0.699702454865848,1.32201524556414,-0.149401454591671,0.335739692069179,0.25970477529023,1.24634737288867,0.259216521798469,-1.10102751450436,-3.33307980690586,-1.03764778768913,1.52978215853261,0.319915999848601,-0.921104946789485,0,0.120600477052628,2.83376505663014,-1.05685103205001,-0.262836148342375,0.19410596592655,-0.321110445695231,-2.58650538461071e-05
"CS",-0.199362079990755,0.314766164485471,0,-0.667740400148932,-1.47218441098794,1.73510132512531,-0.0936926725375148,0,0.246701943286009,1.09321584449634,-0.0961600962407456,0.422651058743147,3.10457355209573,1.04291764390529,-0.948269550019299,-0.00642649560205426,-2.38913798814256,0.83262298923764,-0.75606792845595,-1.0792125814644,-0.4628600756156,-3.17670185371856,0.337958577984623,-0.328815442821744,-5.39630760367044,1.77329261603298,0.83150633601684,1.51985412410931,0.323753816691987
"ME",0.601163289841977,-0.100109224414185,0,-0.515312139989413,1.04778754998145,1.87546010155853,2.88904150564078,-1.18938740934613,-1.15498017943295,1.36547350630257,-0.266051347188726,0.682527859593605,2.76265973308544,1.51117590536666,-0.539221572047549,-0.0610857012441035,0.0617781932344967,-0.58217232435125,-0.826811931691855,0.837812709768783,0.618409352395291,-4.13750517594406,-0.469700947351542,-1.36671067081869,-1.72322476495504,0.683705169743658,0.0482366617067144,1.47965694621347,-0.374333397246556
"MR",1.42770457428339,-0.275105566178965,0,-1.8267170544858,0.876493552019397,-1.50422164641815,0,3.42405259124332,-2.26108877582768,-0.894504887607845,0,-2.81352945450559,-0.473767071886356,0.760280193949533,-1.34578126090969,-4.60680208458589,1.34015220094337,0.603245014453293,0,-2.73238931823853,0.0118343957702889,0,-1.68910932547845,0.218629166475558,-6.5250410178565,-2.55410575903272,-3.48519088051608,0.0436442835915671,-0.860838935124984
"PO",0.988770626871315,0.0466145806562018,-4.83174312077395,0.888124287288329,-0.781510029467394,0.543263391034407,-1.10384045148465,-0.24208121486913,0.0237147713971266,0.421292959568722,-1.1469873361279,-0.569352901427813,0.291065156700501,0.0843250540848624,-1.58944220949307,-0.520776156030329,-0.543328835114227,-1.2451364483183,1.11990582932184,-0.343678147239335,0.287308744639392,2.09433893542264,-0.437252461602696,2.93960457620075,-5.65395329925505,-0.162637988928524,0.243465804960674,-3.00988812182639,-0.367906469896764
